Address,Sold_Price,Year_built,Total_interior_livable_area,Total_spaces,Garage_spaces,Elementary_School_Distance,Middle_School_Distance,High_School_Distance,Annual_tax_amount,Last_Sold_Price
'240 Redwood Way',2.610784,1942,2400,0,0,0.5,4.3,4.4,2.26034,400000
'4239 Via Arbolada UNIT 303',2.56409,1982,1070,2,2,0.4,1.5,1.7,2.16937,?
'11466 Foothill Rd',2.745562,1990,8660,6,4,?,3.9,4.4,2.43713,?
'2734 Benedict St',2.605728,1922,756,2,2,0.5,?,?,2.176295,?
'145 April Ave',2.657021,1956,2500,0,0,0.1,0.4,0.7,2.234074,1100000
'3659 Lindenwood Dr',2.64822,1957,1369,2,2,?,?,2.7,2.366882,1050000
'390 Don Giovanni Ct',2.583789,1970,884,1,1,0.3,?,1.2,2.275152,355000
'1534 N Beverly Dr',2.712591,1925,?,0,0,2.2,?,4.4,2.406093,3995000
'140 23rd Ave',2.661482,1939,1650,0,0,0.4,0.9,1.3,2.318644,?
'617 15th Ave',2.654011,1917,1490,2,2,0.1,1,1,2.355,978000
'10919 Northshore Sq',2.645688,1973,1342,2,2,0.6,2.1,1.1,2.261057,238000
'1603 N Pearl Ave',2.560388,1941,1134,1,1,0.3,1.6,2.2,2.243861,228000
'69 Paul Ave',2.667918,1955,1149,1,1,0.2,0.9,1.6,2.064637,?
'252 Chenery St',2.687234,1913,?,1,1,0.7,0.8,1.2,2.358675,695000
'14583 Clearview Dr',2.711636,1956,5345,3,3,1.1,8.4,2.1,2.434461,2380000
'58 N El Camino Real APT 305',2.613959,1979,1175,0,0,0.9,1.1,0.7,2.30613,528000
'111 Bean Creek Rd UNIT 121',2.584187,1983,1200,0,0,1.8,0.1,2,2.276144,480000
'405 Bradley Ave',2.622072,1945,1403,2,2,1.7,1.1,1.2,2.308565,541000
'7230 Amoloc Ln',2.568772,?,?,?,?,?,?,7.9,2.002632,?
'3088 Aralia Ln',2.62321,2013,1776,1,1,0.4,0.8,0.8,2.342247,726000
'640-775 Iris Rd',2.530116,1983,2132,5,5,11.3,?,11.4,2.146866,?
'6526 Aggies Ct',2.539963,2006,1551,2,2,0.2,1.1,1.4,2.222233,?
'2585 El Camino Real APT 207',2.624329,2015,1420,0,0,0.4,0.3,1.2,2.32192,775000
'207 Beethoven Ln',2.66389,2006,2118,2,2,?,1.9,3.3,2.362149,?
'1656 Betty Ct',2.653535,1957,1917,2,2,0.5,0.8,0.8,2.260903,?
'519 Sieber Pl',2.582239,1982,1131,2,2,0.6,?,0.2,2.289296,435000
'1719 Hazelnut Ln',2.647439,2019,2688,2,2,0.5,2,2.8,2.365161,1200000
'1732 Whitwood Ln',2.67728,1960,3348,4,4,0.3,0.4,1.4,2.399127,?
'3637 Snell Ave SPC 151',2.512966,1971,1368,0,0,2.3,?,1.3,?,?
'8 Old Chimney Rd',2.486048,1980,?,?,?,14.8,?,14.8,2.070469,250000
'28851 Kelly Rd',2.59748,1995,1716,2,2,2.3,3.1,2.4,2.279091,430000
'222 N Windsor Blvd',2.663025,1923,1714,0,0,0.4,1.3,2.6,2.106348,?
'708 Ganymede Dr',2.634599,1991,2859,2,2,0.3,2.4,?,2.347089,987000
'1414 Montecito Dr',2.623958,1999,1767,2,2,0.3,?,?,2.244829,265000
'25747 Long Barn Sugarpine Rd',2.449732,1953,764,0,0,?,?,0.1,1.841074,?
'1717 Nash Dr',2.661398,1952,2650,0,0,0.1,1.8,2.1,2.205998,?
'3219 Glenhurst Ave',2.612654,1925,940,2,2,0.3,?,?,2.328613,?
'2649 Stoner Ave',2.652428,1937,1392,2,2,0.2,0.5,1.7,2.329887,742000
'1219 E 127th St',2.559079,1942,676,1,1,0.4,?,0.2,2.235599,?
'5343 Larchwood Dr',2.636632,1965,1276,2,2,0.2,1.9,0.2,2.327235,710000
'2732 Peridot Dr',2.617321,1972,1284,2,2,0.4,0.8,1.5,2.320928,595000
'6100 Montgomery Ct',2.580446,1973,1127,2,2,1.8,1.6,3.5,2.152041,?
'839 N Curson Ave',2.726084,2020,5113,0,0,0.5,?,0.4,2.464194,1950000
'4317 24th St',2.708967,1900,2200,1,1,0.3,?,?,2.408525,1535000
'3880 Bostwick St',2.598025,1962,1298,2,2,0.2,0.8,?,2.084278,512250
'180 Alhambra St',2.687234,1925,2864,4,4,0.9,0.2,1,2.321969,3330000
'7643 Kittyhawk Ave',2.61773,1947,991,2,2,0.6,?,?,2.215401,?
'19295 Hidden Springs Ln',2.602749,1981,1295,0,0,4.7,6.8,6.9,2.277839,489000
'826 La Tierra Ct',2.652331,2000,3033,2,2,0.4,1.8,3.7,2.348655,951000
'69 Beaver St',2.688636,1892,1780,2,2,0.2,0.4,0.5,2.434749,2617000
'350 Day St',2.652088,1900,918,1,1,0.7,0.4,?,2.391416,?
'175 Fernwood St',2.483483,1979,1040,2,2,0.2,0.9,0.7,2.087504,150000
'1368 El Camino Real SUITE 309',2.623585,2018,1190,2,2,1,0.7,2,2.310384,709000
'1716 Bevin Brook Dr',2.601727,1993,1201,1,1,0.5,?,0.4,2.307695,586000
'3941 19th St',2.699451,1998,2154,0,0,0.4,0.3,0.3,2.410452,1750000
'794 19th Ave',2.634599,1921,1057,1,1,0.2,0.9,0.9,2.292989,?
'26278 Woodland Ave',2.542141,1988,1299,1,1,?,0.4,0.4,2.139148,247876
'525 Hurlingham Ave',2.714257,1922,3270,0,0,0.2,1.7,0.8,2.277028,?
'21733 Margaritaville Way',2.511537,1991,1216,0,0,?,?,?,2.184274,325343
'529 Oak Ave',2.622225,1925,810,0,0,0.3,?,1,2.308704,643000
'4746 W 173rd St #6',2.579461,1989,1025,2,2,0.4,1.2,2.7,2.223612,257000
'3623 S Centinela Ave',2.645374,2015,2065,2,2,0.5,0.8,0.8,2.363287,1150000
'19109 Creekside Pl',2.589358,1972,1646,0,0,2.6,2.7,3.3,2.272624,600000
'961 Woodcreek Way',2.605728,1998,1564,2,2,0.7,1.7,0.6,2.309713,?
'3559 Casitas Ave',2.629933,2020,1884,2,2,0.4,?,?,?,?
'2763 Buena Point Ct',2.610149,1988,1216,2,2,0.2,?,2,2.220126,490000
'11061 Ohio Ave',2.723037,?,?,?,?,1.1,?,1,2.413488,?
'216 Keokuk St',2.613959,1885,1648,0,0,?,?,?,2.199838,?
'148 Villa Ter',2.612654,1953,832,0,0,0.3,?,?,2.298881,530000
'1524 E 33rd St',2.603756,2014,3244,2,2,0.1,?,?,2.293467,520005
'194 28th Ave',2.72454,1922,3272,0,0,0.4,0.3,0.5,2.448795,2515000
'600 W 9th St APT 807',2.601727,1983,1264,0,0,0.8,0.8,1,2.257534,?
'123 Cahill Park Dr',2.626153,2004,1581,2,2,1.3,1.2,1.2,2.319005,?
'930 Mission Rd UNIT 40',2.60121,1987,1060,0,0,0.5,0.5,0.7,2.20128,?
'9677 Dresbach Ln',2.527689,1996,1387,1,1,?,?,9.4,2.171842,?
'21885 Mary Rebbeca',2.598458,2008,3359,4,4,1,?,2.6,2.294821,650000
'10177 Country Downs',2.586597,1976,2154,2,2,?,?,?,2.216542,?
'10315 El Prado Way',2.682186,1970,2520,0,0,0.9,1.6,1.2,?,?
'1545 Pine St APT 1204',2.658143,2017,1140,0,0,0.1,1.2,0.9,2.341731,?
'57 6th Ave APT 1',2.609047,1924,750,0,0,0.4,0.5,1.3,2.301928,440000
'12700 Montana Ave',2.680825,1939,1389,0,0,1.6,1.1,3.2,2.179367,?
'5118 Carbondale Rd',2.58997,1996,2384,2,2,5.9,?,10.1,2.283919,495000
'2801 Arctic Dr',2.566256,1981,3744,10,2,14.6,?,17.8,2.226175,?
'1113 S Delaware St',2.642099,1946,1010,0,0,0.1,0.9,1.3,2.368907,1325000
'2540 Sparrow Valley Rd',2.557167,?,?,?,?,3.1,?,2.9,?,?
'1034 Fawnskin Dr',2.609967,1986,3349,3,3,3.5,2.9,7.2,2.298663,?
'12219 Trinity St',2.571994,1955,1448,2,2,0.2,?,?,2.191513,?
'15810 Los Gatos Almaden Rd',2.629317,1972,1218,2,2,0.3,0.7,1.5,2.258193,525000
'1050 Borregas Ave SPC 167',2.483483,1976,1488,0,0,1,0.4,3,?,?
'1931 Alden St',2.660331,1947,1260,0,0,0.7,?,0.7,2.174677,?
'3234 Rowena Ave',2.618136,1941,1134,0,0,0.5,0.9,0.2,?,?
'2813 S Westgate Ave',2.644604,1950,877,0,0,0.4,?,1.8,2.316934,705000
'239 N El Monte Ave',2.691352,1953,2900,6,6,0.3,?,0.8,2.425305,2250000
'250 N 1st St #504',2.592368,2007,1350,0,0,0.6,0.8,0.5,?,?
'12698 Stockholm Way',2.620525,1996,2037,2,2,3,4.5,3.2,2.310588,589000
'1320 W Brazil St',2.575076,1950,1435,1,1,0.1,?,1.2,2.285196,330000
'662 S Ditman Ave',2.594114,1921,1668,0,0,0.2,0.2,?,2.275765,205000
'12285 Telemark Pl',2.603355,1984,1518,2,2,2,2.4,2,2.227363,?
'1010 Foxgrove Ln',2.552875,1988,1176,0,0,?,?,?,2.204068,375000
'4920 Birmingham Dr',2.618136,1970,2084,2,2,0.8,2.2,0.6,2.182262,?
'2000 Deodara Dr',2.695469,1972,2146,2,2,0.5,1.1,1.6,2.330847,?
'957 Arapahoe St',2.659246,1910,?,0,0,0.2,0.6,1.5,2.385106,?
'2331 S Cloverdale Ave',2.622681,1924,1867,1,1,0.3,1.9,1,2.086759,?
'2213 Roscomare Rd',2.713532,1953,2734,2,2,0.4,?,4.2,2.407861,1850000
'507 Sylvan Ave',2.660331,1942,1210,0,0,0.5,0.3,0.2,2.385552,1550000
'52 Maple Ave',2.626153,1959,976,2,2,1.2,1.6,0.8,2.346856,665000
'888 Russet Dr',2.6858,1965,1916,2,2,0.4,0.8,0.7,2.364759,1150000
'3211 N Canyon View Dr',2.61608,2006,5551,3,3,1.4,2.7,2.1,2.27149,?
'1332 Greenwich St',2.72616,1895,2460,1,1,0.3,0.7,0.2,2.443307,2200000
'1609 Lee Way',2.619341,2013,1456,1,1,0.3,2.1,2.7,2.309964,?
'1419 S Sierra Bonita Ave',2.588054,1940,1755,2,2,0.3,?,2.1,2.340529,965000
'3820 Evangelho Cir',2.647282,2003,2093,1,1,0.6,1.5,1.2,2.338743,669000
'4159-4161 Jasmine Ave',2.660546,1948,1665,4,2,0.5,0.6,0.7,?,?
'3808 Los Feliz Blvd',2.679238,1947,3454,4,4,0.6,1.2,0.4,2.365319,1210000
'24790 Papaya St',2.59693,1959,1164,2,2,0.7,0.6,1.5,2.300398,?
'214 Wixon Ave',2.613959,1970,1560,0,0,1.8,?,2.5,2.14862,?
'14501 Wilson St',2.588116,1955,1593,0,0,0.5,0.3,1.5,2.295996,500000
'15342 Starbuck St',2.595817,1952,1532,2,2,0.6,0.7,0.8,2.160562,345000
'115 Colonade Sq',2.59693,1988,1220,1,1,0.4,1,0.4,2.288277,337000
'5231 Elmwood Dr',2.656484,1958,2198,2,2,0.5,0.5,0.7,2.318984,?
'6748 W 87th St',2.636116,1946,1657,0,0,0.3,?,?,2.300335,471000
'531 La Honda Dr',2.627578,1975,2077,0,0,0.5,?,1.3,2.335965,957000
'1654 Orchard Ln',2.526223,1998,1500,0,0,?,?,?,2.227747,250000
'1051 Craig Dr',2.698151,2015,2563,2,2,0.5,0.4,0.8,2.404095,1300000
'51 W View Ave',2.645688,1943,1375,1,1,0.2,0.8,0.9,2.358373,1090000
'5410 Blackwelder St',2.629368,1964,3224,8,4,0.5,4.5,1.1,2.2531,?
'532 N Rossmore Ave APT 105',2.588116,1972,963,0,0,0.8,0.8,2.1,2.299266,?
'2954 Rossmore Ln',2.619738,1968,1528,2,2,0.2,0.7,1.2,2.251254,?
'1769 Whispering Willow Pl',2.675431,2001,3189,2,2,0.8,2.2,1.3,2.381506,?
'3620 Cesar Chavez St #401',2.641242,2020,1144,0,0,1.1,0.6,0.9,?,?
'319 Broadway Ave',2.529098,1950,1297,1,1,0.2,?,1.7,2.163669,?
'991 S 7th St',2.611323,1908,1337,3,3,0.6,3.1,3.2,2.254952,275000
'2786 Pullman Ave',2.682831,2016,2266,2,2,1,?,1.8,2.391184,1600000
'900 Odell Way',2.690009,1959,2062,2,2,0.8,1,1.1,2.441331,2850000
'742 W Orange Ave',2.622454,1944,1000,1,1,0.3,1.1,0.5,2.326906,720000
'1180 West Ave',2.537209,1980,1554,2,2,0.3,0.5,0.9,2.135611,?
'922 Harmon Gulch Rd',2.592838,1965,1482,0,0,2.8,5.7,5.9,2.311106,655000
'20190 Winn Rd',2.718034,1916,2808,0,0,1.7,1.2,1.1,?,?
'1057 Shell Blvd APT 10',2.610874,1972,1042,0,0,0.7,1.1,4.6,2.282302,490000
'313 Alto Dr',2.611502,1990,2090,8,8,2.2,6.5,6.6,2.199365,?
'301 Main St UNIT 21B',2.671386,2008,1317,1,1,?,?,1,2.412767,?
'120 Belvedere Ave',2.674227,1946,1450,0,0,0.2,0.7,1.1,2.298598,?
'2340 N Vermont Ave',2.733014,1935,6263,0,0,?,1.2,0.9,2.478376,4295500
'106 Coleridge St',2.711636,1900,3015,3,3,0.5,?,1,2.451184,3100000
'35 9th Ave APT 9',2.649348,1982,1704,2,2,0.5,0.7,0.8,2.288234,812000
'631 Ofarrell St APT 1003',2.57642,1930,520,0,0,?,1.2,?,2.244254,270000
'112 Garydale Ct',2.681293,1975,4152,4,4,0.9,0.4,2.4,2.334647,442000
'1249 Nashville Ct',2.576124,1993,1566,2,2,0.1,0.2,0.5,2.26152,118500
'7827 S Halldale Ave',2.576568,1926,1310,2,2,0.4,1.3,1.9,2.26845,?
'622 Lewis Rd',2.59748,1997,1570,6,6,1.1,2.3,2.9,2.278979,370000
'969 Hilgard Ave APT 1012',2.592955,1961,717,1,1,0.7,?,1.6,2.262419,339000
'3594 Canada St',2.613959,1955,884,1,1,0.7,?,?,2.285435,515000
'1247 Canopy Ln',2.612427,2019,1986,0,0,2.4,4.2,2.6,?,801024
'1438 W 66th St',2.580166,1922,1336,2,2,0.5,0.8,1,2.250631,388000
'1870 Wharf Rd',2.593421,1962,954,0,0,0.6,0.5,2.4,2.208025,?
'2888 Epperson Way',2.538473,2005,1733,2,2,?,?,?,2.20153,?
'2284 Bonar St',2.633317,1938,?,2,2,0.8,1.2,1,2.310655,494000
'4234 Palmero Dr',2.642382,1955,1258,2,2,0.8,?,1.5,2.332604,844000
'5090 A Diamond Heights Blvd #A',2.623958,1964,1036,0,0,0.7,1.6,?,2.085472,?
'31000 Mount Madonna Rd',2.501934,1977,1000,0,0,12.3,10.9,10.8,2.13696,?
'161 Jessie St',2.660738,1912,1960,0,0,0.3,8.8,8.1,2.320271,905000
'837 Cherry Orchard Pl',2.662656,2008,1935,2,2,0.6,1.7,0.7,2.389096,1650000
'1733 Baywood Ln',2.625792,1986,3260,3,3,?,?,3.5,2.305463,680000
'9 Elizabeth Cir',2.674746,1991,2428,0,2,1.2,1.7,0.4,2.386678,1520000
'3828 Hamilton Way',2.705681,1949,3772,2,2,0.4,?,2.2,2.348138,565000
'1386 Palm St',2.580166,1988,870,0,0,0.7,1.7,1.6,2.275119,458000
'19880 Sea Gull Way',2.702331,1970,2479,2,2,0.4,1.2,1.4,2.408663,1655000
'236 E Empire St',2.537209,1900,672,0,0,?,?,?,2.25134,?
'1224 W Nelson Ave',2.546761,2007,2031,2,2,0.7,1.1,1.2,2.213805,273800
'11 Sir Francis Drake Blvd',2.684332,1945,2392,2,2,0.2,?,2.4,2.390018,1285000
'9248 Ponderosa Ave',2.502342,1980,1352,2,2,0.2,1.8,1.1,2.153081,?
'2957 Jackson St',2.691352,?,2138,0,0,0.3,?,0.6,2.429282,2300000
'1071 Glen Brook Ave',2.668224,1948,1744,2,2,0.8,1.3,1.2,2.375864,1260000
'11055 New Ave',2.637397,1977,2412,4,4,2,4.8,3.4,2.21086,?
'4509 Orchard Ave',2.571994,1909,1280,2,2,0,?,0.5,1.998099,?
'21607 Juan Ave APT 34',2.540939,1973,887,1,1,0.5,0.1,0.8,2.203229,225000
'4839 W 112th St',2.56557,1924,648,0,0,0.3,0.1,1,2.256485,?
'50 De Sabla Rd',2.714918,1942,2586,2,2,0.8,1.1,0.8,2.441278,2950000
'1170 Mariposa St',2.612213,1986,1790,2,2,0.2,1.7,0.7,2.235725,219000
'422 Cliff St',2.613872,1979,1455,2,2,1.2,1,2.1,2.285405,?
'4656 Armour Dr',2.648323,1960,1919,2,2,0.4,3.6,3.7,2.34069,920000
'225 Mount Hermon Rd SPC 103',2.575302,1993,1754,0,0,1.7,0.4,2.2,?,?
'5124 Kozo Pl',2.651105,1978,1422,2,2,0.9,0.5,0.4,2.307485,485000
'3546 Edgeman Ct',2.655185,1987,2584,2,2,0.8,0.9,0.8,2.34197,742000
'1452 Waller St #1',2.594114,1904,434,0,0,0.9,?,0.7,2.261135,330000
'1449 Via Vis',2.638184,1984,1280,0,0,0.8,2.4,2.2,?,?
'615 Nandell Ln',2.759789,2009,7141,2,2,0.5,?,2,2.508194,2000000
'166 Granville Way',2.672822,1926,?,1,1,0.2,0.6,?,2.337499,649000
'764 Villa Teresa Way #764',2.563649,2006,1860,0,0,?,1.9,1.1,?,?
'915 Lundy Ln',2.61177,2019,1655,1,1,1.5,0.3,2.3,2.068223,?
'428 N Crescent Heights Blvd',2.663481,1926,2150,0,0,0.6,?,0.4,2.307157,?
'1511 N Herbert Ave',2.580864,1934,972,0,0,0.4,1.4,0.8,2.259891,360000
'217 Pacifica Blvd UNIT 302',2.527689,2006,685,0,0,0.2,0.2,1.4,2.118566,4850000
'949 Capitola Way',2.662448,1964,1845,2,2,0.4,1.5,0.5,2.093986,?
'1050 N Point St APT 1009',2.632667,1963,764,0,0,0.5,0.7,0.1,2.249481,?
'1714 Fat Aly',2.602901,2019,1837,1,1,0.1,1.3,2.1,2.304429,685000
'1062 Riverside Dr',2.715373,2005,3016,2,2,0.3,?,1.5,2.423083,1095000
'401 Greendale Way',2.67807,1964,3654,5,5,0.7,1.9,1.7,2.317647,?
'230 Rainier Ave',2.648581,1954,1540,0,0,0.1,1.4,0.3,2.141035,?
'2136 W 78th Pl',2.591777,1947,1373,2,2,0.3,?,2.1,2.189641,?
'17482 Belletto Dr',2.618136,1997,1832,2,2,0.5,9.5,2.1,2.313544,638000
'3350 Cheshire Dr',2.654718,1968,2313,2,2,1,0.7,1.6,2.210925,?
'3331 Pruneridge Ave',2.666564,1961,2679,2,2,0.2,2.9,1,2.254601,?
'726 Cassaday Ct',2.573552,1988,912,0,0,0.3,1.6,1,2.277142,426000
'7471 Perry Creek Rd',2.568276,1978,1960,6,6,3.1,3.1,11.8,2.241162,250000
'295 Hazelwood Ave',2.667457,0,1515,3,3,0.5,0.7,?,2.39718,1700000
'3331 La Mesa Dr APT 10',2.636601,1973,1040,1,1,0.9,1.8,1.7,2.331332,775000
'844 14th Ave',2.663481,1950,1650,0,0,0.9,?,1.4,2.372757,1310000
'619 E 154th St',2.604749,1960,2938,0,0,0.5,?,2.3,?,?
'637 Upton St',2.643502,1952,1050,3,3,0.3,?,1.8,2.296604,535000
'2759 Babe Ruth Dr',2.635857,1973,1298,2,2,0.5,0.5,2.4,2.347745,867000
'12115 Columbet Ave',2.63364,1970,2400,3,3,1.8,?,5.6,2.250111,277500
'1116 Fairview Ave',2.689244,2009,3550,2,2,1,0.5,0.4,2.411852,1840000
'6751 Avenue 424',2.523815,1940,1447,2,2,3,?,2.6,2.108731,?
'29 Park Hill Ave',2.734676,1927,2810,2,2,0.1,0.7,0.6,2.476101,4100000
'878 Strawberry Canyon Rd',2.604749,1958,1711,2,2,1,?,?,2.202171,153000
'9515 Croesus Ave',2.545633,1959,910,1,1,0.2,1.1,?,2.200814,?
'1037 N Laurel Ave APT 5',2.641242,2004,1548,0,0,0.2,?,0.5,2.343442,885000
'1115 S Baywood Ave',2.658807,1966,1938,2,2,0.3,0.1,1.1,2.352313,785000
'2507 Mardell Way',2.669358,1958,1216,2,2,0.3,1.1,1.7,2.387705,1600000
'1514 La Baig Ave',2.644604,?,?,?,?,0.5,0.3,1.2,2.231424,183500
'5738 Croydon Ave',2.632667,1961,1420,1,1,1,1.6,0.2,2.232315,?
'2738 Turturici Way',2.689189,2015,4512,3,3,1.1,2.5,4.4,2.411056,1760000
'4225 Via Arbolada UNIT 573',2.600427,1983,1808,0,0,0.5,1.6,1.6,2.272145,?
'4605 Royal Forest Ct',2.494629,1975,2891,2,2,0.4,2,0.6,2.349263,1460000
'3535 Wawona St #317',2.60563,2020,675,0,0,0.3,2.3,1.4,?,?
'3480 Sugarcreek Dr',2.594687,1979,1360,2,2,0.3,?,0.1,2.284025,360000
'7101 La Tijera Blvd APT I202',2.592955,1991,1440,2,2,1,?,?,2.296762,450000
'91 S Filice St',2.578749,1957,1465,0,0,0.5,2.1,1.7,2.034234,226000
'5337 Raber St',2.647804,1978,1882,2,2,0.4,?,0.7,2.286808,531000
'739 E 107th St',2.55889,1918,652,1,1,0.2,?,?,2.232367,290000
'4220 Michael Ave',2.671204,2007,2744,0,0,0.3,1,0.6,2.350977,930000
'2418 E Bliss St',2.554199,1947,818,3,1,0.1,?,1.2,2.147837,89500
'5564 Thureson Way',2.642241,1962,1210,2,2,0.1,1.3,0.6,2.19674,?
'10776 Wilshire Blvd #1602',2.729996,2010,3389,0,0,0.5,?,1.7,2.48981,?
'2146 Penasquitas Dr',2.602546,1983,1587,0,0,0.8,?,1.8,2.300928,625500
'41249 Brown Rd',2.464353,1971,1792,2,2,5.7,?,7.2,2.125356,136827
'1291 Cotterell Dr',2.617893,1972,1626,2,2,0.4,0.8,1,2.334465,431000
'7708 3/4 Crenshaw Blvd',2.515059,1949,671,1,1,0.9,0.5,?,2.136691,123000
'1916 Bishop Rd',2.675431,1964,1620,0,0,0.6,?,2.2,2.189962,?
'1653 New Brunswick Ave',2.652816,1973,1144,2,2,1.2,1,0.4,2.159325,240000
'1423 Bryan Ave',2.643945,1959,1280,2,2,0.5,0.5,1.2,2.324848,625000
'1297 Baywood Ave',2.632667,1955,1050,0,0,0.4,0.9,0.1,2.261289,315000
'887 E Meadow Dr',2.700033,1955,1928,0,0,0.4,0.8,2.3,2.406089,1599750
'225 Duboce Ave',2.702865,1958,4660,6,6,0.5,0.4,0.5,?,?
'24510 State Highway 44',2.564529,2003,1687,4,4,1.9,?,6.2,2.237547,396000
'5222 Denker Ave',2.598512,1923,2418,1,1,0.2,?,1.2,2.218335,117000
'1056 Cole St',2.658143,1909,1467,0,0,0.7,?,0.9,2.379865,1310000
'120 Upland Dr',2.668793,1931,2388,2,2,0.6,0.2,1.3,2.306698,425000
'7420 El Manor Ave',2.679718,1968,3000,0,0,0.4,?,?,2.383944,1490000
'35 Gold Mountain Rd',2.542141,1992,1868,3,3,3.3,?,10.4,2.183892,?
'186 Wild Moor Reach',2.622454,1990,1609,0,0,6.6,?,18.3,2.280812,?
'4864 Kingbrook Dr',2.657472,1958,1620,2,2,0.1,0.9,1.7,2.165723,?
'17944 Madrone Dr',2.578749,1926,1296,0,0,1.5,3.2,4.1,2.311296,611500
'57 Saturn St',2.672466,1939,2430,2,2,0.5,?,0.9,2.40071,1725000
'12035 Marilla Dr',2.684095,1970,2304,2,2,0.3,1.1,1.5,2.395723,1560000
'3900 La Salle Ave',2.612654,1913,?,0,0,0.2,?,0.8,2.328557,?
'4308 Summertime Ln',2.583973,1973,862,2,2,0.6,0.7,0.8,2.209584,178000
'11500 Tennessee Ave UNIT 321',2.599636,2009,1001,2,2,0.7,?,1.3,2.274769,425000
'1242 Irolo St',2.632667,1913,?,0,0,0.3,0.4,0.8,2.35383,?
'9863 Township Rd',2.581555,2004,2085,3,3,?,?,?,2.265713,560000
'3030 Flores St',2.453649,2000,2790,4,4,0.4,0.6,0.7,2.295717,1800000
'23181 Avenue 196',2.475234,1947,1056,1,1,0.3,?,0.7,1.97159,40000
'10450 Wilshire Blvd UNIT 10F',2.594114,1961,1098,2,2,0.4,?,2.3,2.227143,?
'8451 Hooper Ave',2.559268,1940,1001,2,2,0.2,0.4,?,2.222377,235000
'4390 Watson Cir',2.650857,2004,1590,1,1,?,?,4,2.323264,?
'2047 15th St',2.690009,1905,4788,0,0,0.2,0.1,0.3,?,?
'43 Cordova St',2.632667,1915,1272,1,1,0.2,0.7,0.6,2.335257,820000
'2166 Cuesta Dr',2.639199,1990,1528,2,2,0.3,0.4,2.9,2.242556,?
'320 Peninsula Ave APT 204',2.602035,1987,930,0,0,0.6,2,0.4,2.267948,285000
'1801 Braddock Ct',2.588116,1981,841,2,2,0.2,1.5,0.6,2.270079,385000
'629 S Avenue 59',2.603254,1927,970,2,2,0.5,?,1.3,2.187446,128000
'4450 W 63rd St',2.62577,1941,1635,0,0,0.9,2.2,?,2.292947,515000
'3715 Winchester Ave',2.614815,1925,1598,2,2,0.5,1.2,2,2.200742,168000
'2787 Gardendale Dr',2.673703,1956,2606,2,2,0.2,0.9,1,2.375321,1210000
'12158 Travis St',2.694211,2002,3819,2,2,0.5,1.6,3.6,2.353851,?
'2860 Sugarpine Ct',2.634281,1965,1967,2,2,0.2,1.2,1.8,2.176661,?
'654 Brentwood Dr',2.658143,1955,1571,2,2,?,?,1.7,2.175559,?
'10 Carlsbad Ct',2.650358,1955,1520,0,0,0.1,1.3,0.4,2.365112,1350000
'1525 N Hayworth Ave APT 205',2.592368,1959,1045,0,0,0.7,1.8,1,2.289453,525005
'6247 E Jahant Rd',2.567943,1972,1896,1,1,1.2,?,4.9,2.215401,239000
'2486 S Centinela Ave APT 301',2.614815,2007,1401,0,0,0.7,1,1.4,2.320918,745000
'4685 Albany Cir APT 145',2.610422,1982,1383,1,1,0.7,1.8,1.5,2.231713,?
'4040 Cesar Chavez St',2.669545,0,1735,0,0,0.6,0.2,0.9,?,?
'1141 Lafayette St',2.62966,1905,1790,0,0,1.6,0.4,2.5,2.02055,?
'44 San Felipe Way',2.638902,1968,1775,2,2,0.2,0.8,0.6,2.338421,749000
'552 Hoefner Ave',2.575826,1927,827,0,0,0.5,?,1.6,2.092982,?
'618 N Poinsettia Ave',2.576568,1941,1312,2,2,0.3,1.2,1.8,2.275002,345000
'1345 Geneva Ave',2.701181,2020,2439,0,0,0.2,0.5,1.3,2.361606,1140000
'5 Rubio Rd',2.631013,1975,1415,4,4,1,?,0.5,2.357627,1260000
'2115 14th Ave',2.640665,1969,3071,2,2,0.5,0.2,0.6,2.298314,?
'199 Cheltenham Pl',2.636478,1977,2347,2,2,0.5,0.3,7.1,2.235448,?
'168 Paseo Dulzura',2.493264,2005,1961,0,0,?,2,5.4,?,?
'16720 Feliz Ct',2.618742,1977,1411,2,2,?,?,1.8,2.258313,318000
'4724 Mendoza Ave',2.495079,1968,1431,1,1,0.6,?,1.5,2.342239,760000
'5570 Marysville Rd',2.478083,1982,1362,2,2,0.4,?,12.4,2.070469,37500
'33259 Shockey Truck Trl',2.550998,1963,1648,3,2,3.5,?,2.7,2.123319,?
'1470 Blackstone Ave',2.61854,1957,1088,2,2,0.6,1.1,1.2,2.211346,?
'1788 W 24th St',2.598025,1903,2446,0,0,0.5,1.6,0.9,2.311967,?
'274 Shoreview Ave',2.629317,1953,1050,0,0,2.5,?,4,2.332763,830000
'1128 N Avenue 56',2.620498,2020,1829,0,0,0.1,?,0.3,2.351917,725000
'2680 Grell Ln',2.611323,1986,2197,8,2,0.5,2.4,1.4,2.26314,520000
'30 E Julian St UNIT 309',2.612125,2000,1271,0,0,0.5,0.9,1.5,2.251104,?
'4411 Los Feliz Blvd APT 802',2.600689,1966,1005,2,2,0.4,1,0.6,2.214402,?
'679 Jackson St',2.523968,1957,1056,1,1,0.5,?,1,2.109166,165000
'603 Sorrel Rd',2.542735,2007,1386,0,0,4,0.7,13.7,2.20128,90000
